Canonical Form,Total Record Count,Match 1 Label,Match 1 URI,Match 1 Score,Match 2 Label,Match 2 URI,Match 2 Score,Match 3 Label,Match 3 URI,Match 3 Score,Possible Group Match (needs review)
New York (N.Y.). Department of Transportation,20,New York (N.Y.). Department of City Planning. Transportation Design Section,http://id.loc.gov/authorities/names/no2014163132,75%,New York (N.Y.). Subregional Transportation Planning Program,http://id.loc.gov/authorities/names/n87818489,65%,New York (N.Y.). Parking Violations Bureau,http://id.loc.gov/authorities/names/no91009658,64%,New York (N.Y.). Department of Sanitation (75%); New York (N.Y.). Department of Education (75%); New York (N.Y.). Department of Environmental Protection (67%); New York (N.Y.). Department of City Planning (67%); New York (N.Y.). Police Department (62%); New York (N.Y.). Department of Parks and Recreation (60%)
Halcrow Group Limited,19,Halcrow Group Limited,http://id.loc.gov/authorities/names/nr2004014597,100%,,,,,,,
"DeLorme Publishing Company, Inc.",18,,,,,,,,,,
National Atlas of the United States and the United States Geological Survey,17,,,,,,,,,,"National Atlas of the United States and the U.S. Geological Survey (82%); National Atlas of the United States (67%); Smithsonian Institution, Global Volcanism Program, National Atlas of the United States, and the United States Geological Survey (64%)"
Tele Atlas (Firm : U.S.),16,Tele Atlas (Firm : U.S.),http://id.loc.gov/authorities/names/n2008024782,100%,,,,,,,
National Atlas of the United States,16,Sheet of the National atlas of the United States,http://id.loc.gov/authorities/names/no2010147661,84%,Geological Survey (U.S.) National atlas of the United States of America. Location index,http://id.loc.gov/authorities/names/n80029777,57%,"Co-operation Agreement between the Department of Energy of the United States of America and the National Science Foundation of the United States of America and the European Organization for Nuclear Research Concerning Scientific and Technical Co-operation in Nuclear and Particle Physics (2015 May 7). Protocols, etc. (2015 December 18 : Experiments Protocol II). Protocols, etc. (2017 April 28)",http://id.loc.gov/authorities/names/no2023110905,0%,National Atlas of the United States and the United States Geological Survey (67%)
AND International Publishers N.V.,15,,,,,,,,,,
National Climatic Data Center (U.S.),12,National Climatic Data Center (U.S.). Climate Services Division,http://id.loc.gov/authorities/names/no99067739,73%,Midwestern Regional Climate Center (U.S.),http://id.loc.gov/authorities/names/no2009046965,70%,North Central Regional Climate Center (U.S.),http://id.loc.gov/authorities/names/no2009046963,70%,
New York (N.Y.). Department of Parks and Recreation,12,New York (N.Y.). Department of Parks and Recreation,http://id.loc.gov/authorities/names/n83188545,100%,New York (N.Y.). Department of Parks and Recreation. Historic Houses Unit,http://id.loc.gov/authorities/names/n88236055,82%,New York (N.Y.). Prospect Park Administrator,http://id.loc.gov/authorities/names/no89017302,65%,New York (N.Y.). Department of Transportation (60%); New York (N.Y.). Department of Sanitation (60%); New York (N.Y.). Department of Education (60%)
Michael Bauer Research GmbH,12,,,,,,,,,,
ML InfoMap (Firm),12,,,,,,,,,,
"U.S. Department of Commerce, Census Bureau",11,U.S. Census Bureau,http://id.loc.gov/authorities/names/no2003100601,60%,,,,,,,"U.S. Department of Commerce, Census Bureau, Esri (88%); U.S. Department of Commerce, U.S. Census Bureau, Geography Division (78%); U.S. Department of Commerce, Census Bureau, Geography Division (78%); U.S. Department of Commerce
Bureau of the Census
Geography Division (70%)"
Institut Geographique du Burkina,11,Institut géographique du Burkina,http://id.loc.gov/authorities/names/n85189291,97%,,,,,,,
Survey of Bangladesh,10,Geological Survey of Bangladesh,http://id.loc.gov/authorities/names/n78067189,78%,Cultural survey of Bangladesh series,http://id.loc.gov/authorities/names/no2009163134,71%,Cultural Survey of Bangladesh Project,http://id.loc.gov/authorities/names/n2008210559,70%,
