ID,Type,URL,Label
bsi_2023_parcelmap_24_md,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_24_md.zip,
bsi_2023_parcelmap_24_md,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-24-md,
bsi_2023_parcelmap_25_ma,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_25_ma.zip,
bsi_2023_parcelmap_25_ma,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-25-ma,
bsi_2023_parcelmap_26_mi,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_26_mi.zip,
bsi_2023_parcelmap_26_mi,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-26-mi,
bsi_2023_parcelmap_27_mn,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_27_mn.zip,
bsi_2023_parcelmap_27_mn,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-27-mn,
bsi_2023_parcelmap_28_ms,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_28_ms.zip,
bsi_2023_parcelmap_28_ms,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-28-ms,
bsi_2023_parcelmap_29_mo,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_29_mo.zip,
bsi_2023_parcelmap_29_mo,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-29-mo,
bsi_2023_parcelmap_30_mt,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_30_mt.zip,
bsi_2023_parcelmap_30_mt,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-30-mt,
bsi_2023_parcelmap_31_ne,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_31_ne.zip,
bsi_2023_parcelmap_31_ne,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-31-ne,
bsi_2023_parcelmap_32_nv,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_32_nv.zip,
bsi_2023_parcelmap_32_nv,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-32-nv,
bsi_2023_parcelmap_33_nh,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_33_nh.zip,
bsi_2023_parcelmap_33_nh,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-33-nh,
bsi_2023_parcelmap_34_nj,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_34_nj.zip,
bsi_2023_parcelmap_34_nj,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-34-nj,
bsi_2023_parcelmap_35_nm,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_35_nm.zip,
bsi_2023_parcelmap_35_nm,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-35-nm,
bsi_2023_parcelmap_36_ny,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_36_ny.zip,
bsi_2023_parcelmap_36_ny,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-36-ny,
bsi_2023_parcelmap_37_nc,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_37_nc.zip,
bsi_2023_parcelmap_37_nc,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-37-nc,
bsi_2023_parcelmap_38_nd,download,https://www1.columbia.edu/sec/acis/eds/dgate/studies/C1301/data/bsi_2023_parcelmap_38_nd.zip,
bsi_2023_parcelmap_38_nd,url,https://geodata.library.columbia.edu/catalog/bsi-2023-parcelmap-38-nd,
